ref,sup,pc,w,h,qty,carr
D4574,LV,RH15,500,240,2,25
D4575,LV,TQ13,500,800,1,45
D4576,LV,E10,2000,100,1,65
D4578,LV,Hull,1000,400,1,65
D4579,LV,TA8,300,700,1,45
D4584,LV,London,310,310,1,20
D4584,SA,London,310,310,1,20
D4589,LV,SK16,300,300,1,20
D4589,SA,SK16,300,300,1,20
D4591,LV,NP19,1500,1500,1,95
D4591,SA,NP19,1500,1500,1,77
D4595,LV,BN43,220,140,15,45
D4595,SA,BN43,220,140,15,60
D4596,LV,TS2,3000,3020,1,150
D4596,SA,TS2,3000,3020,1,166
D4598,LV,W1K,1650,146,4,65
D4598,SA,W1K,1650,146,4,50
D4599,LV,BR4,1125,150,2,45
D4602,LV,TR18,1130,2040,1,150
D4602,SA,TR18,1130,2040,1,50
D4605,LV,Sheffield,1290,500,1,65
D4607,LV,Gourock,1209,1200,1,85
D4610,LV,NP4,500,600,2,25
D4610,SA,NP4,500,600,2,20
D4613,LV,SS14,800,800,1,65
D4613,SA,SS14,800,800,1,20
D4614,LV,EC1Y,1000,1000,2,65
D4614,SA,EC1Y,1000,1000,2,20
D4615,LV,CV34,420,120,2,25
D4615,SA,CV34,420,120,2,20
D4618,LV,MK44,270,500,3,25
D4618,SA,MK44,270,500,3,22
D4619,LV,RH12,1000,1000,1,65
D4619,SA,RH12,1000,1000,1,20
D4620,LV,GL3,1000,2000,1,100
D4620,SA,GL3,1000,2000,1,76
D4622,LV,CF31,3500,1000,1,150
D4622,SA,CF31,3500,1000,1,77
D4624,LV,WF12,600,100,2,45
D4625,LV,B30,100,1000,1,65
D4625,SA,B30,100,1000,1,20
D4626,LV,AB12,640,660,2,45
D4626,SA,AB12,640,660,2,25
D4629,LV,NR21,1000,100,1,65
D4629,SA,NR21,1000,100,1,20
D4630,LV,M28,900,255,1,45
D4630,SA,M28,900,255,1,20
D4631,LV,SW7,300,1350,2,65
D4631,SA,SW7,300,1350,2,32
D4632,LV,CB2,450,770,1,45
D4632,SA,CB2,450,770,1,20
D4633,SA,Surrey,380,1200,2,32
D4634,LV,SS14,600,250,5,45
D4634,SA,SS14,600,250,5,25
