h\w,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
100,10.13,11.58,11.94,12.49,14.65,15.91,17.73,19.72,20.61,21.34,24.78,26.23,27.68,29.13,30.57,31.83,33.96,36.25
150,11.94,13.03,14.65,16.10,17.37,17.92,22.43,22.79,23.88,26.23,27.85,28.77,29.65,31.66,33.47,35.63,38.03,40.58
200,,14.65,16.28,18.09,20.08,21.89,23.34,25.31,27.49,31.10,31.83,33.28,34.19,36.45,38.53,40.14,42.84,45.71
250,,,18.09,20.44,22.07,24.95,26.04,29.29,30.93,34.56,35.63,37.44,38.71,39.79,41.42,44.68,47.68,50.87
300,,,,22.98,24.95,27.13,30.20,31.83,33.11,38.71,40.14,41.59,43.04,45.22,47.21,49.38,52.68,56.21
350,,,,,27.68,29.13,31.66,34.56,37.08,41.42,43.23,45.57,47.93,49.19,51.91,54.45,58.09,61.99
400,,,,,,32.92,35.44,37.98,40.87,44.68,46.84,49.19,52.63,55.17,57.87,60.05,64.07,68.36
450,,,,,,,38.17,40.87,43.04,47.57,50.99,54.26,57.87,60.44,62.76,65.47,69.86,74.52
500,,,,,,,,43.77,45.76,51.18,54.08,57.70,61.48,63.47,66.20,68.00,72.57,77.43
550,,,,,,,,,49.56,54.62,57.70,61.48,65.47,66.54,68.18,69.45,74.10,79.05
600,,,,,,,,,,57.87,61.32,64.94,69.27,70.36,71.45,71.97,76.80,81.95
650,,,,,,,,,,,65.11,68.55,73.42,74.15,75.79,77.05,82.21,87.69
700,,,,,,,,,,,,74.15,76.87,79.76,81.76,83.91,89.52,95.53
750,,,,,,,,,,,,,82.43,84.10,87.00,89.89,95.91,102.35
800,,,,,,,,,,,,,,89.89,93.31,95.85,102.27,109.13
850,,,,,,,,,,,,,,,98.22,102.00,108.83,116.12
900,,,,,,,,,,,,,,,,106.70,113.85,121.48
950,,,,,,,,,,,,,,,,,121.48,129.60
1000,,,,,,,,,,,,,,,,,,138.31
