h\w,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
100,13.22,13.22,14.10,15.19,17.19,18.99,21.17,23.52,28.58,29.13,31.29,33.47,35.44,36.17,37.81,39.79,40.87,43.22,45.69
150,,13.74,14.65,16.28,17.73,19.89,22.98,24.95,29.65,30.93,33.11,34.19,36.89,40.87,43.04,46.29,49.02,51.83,54.81
200,,,17.00,18.09,19.72,20.05,24.23,28.94,30.74,32.92,33.83,36.53,39.07,43.60,48.36,53.17,60.05,63.48,67.13
250,,,,22.07,23.71,26.59,29.65,32.55,35.44,41.23,45.93,46.84,51.18,56.24,59.68,63.48,69.08,73.04,77.24
300,,,,,28.58,29.65,32.74,35.80,38.89,46.29,46.65,57.51,57.87,61.84,62.93,66.54,71.72,75.83,80.19
350,,,,,,33.83,36.89,39.26,44.86,49.02,56.97,59.51,60.41,63.20,65.30,70.17,72.70,76.87,81.28
400,,,,,,,39.79,43.96,48.11,56.61,59.87,61.48,63.12,65.30,66.54,73.06,74.34,78.61,83.12
450,,,,,,,,50.82,54.98,60.05,62.93,64.21,65.66,67.46,70.36,74.51,76.51,80.90,85.55
500,,,,,,,,,60.77,63.85,67.27,71.13,75.22,79.54,84.10,88.93,94.02,99.41,105.11
550,,,,,,,,,,68.00,75.42,79.75,84.32,89.16,94.29,99.68,105.41,111.45,118.72
600,,,,,,,,,,,79.93,84.51,89.37,94.51,99.93,105.66,111.73,118.15,124.93
650,,,,,,,,,,,,89.37,94.51,99.93,105.66,111.73,118.15,124.93,132.13
700,,,,,,,,,,,,,99.93,105.66,111.73,118.15,124.93,132.13,139.71
750,,,,,,,,,,,,,,111.73,118.15,124.93,132.13,139.71,146.51
800,,,,,,,,,,,,,,,124.93,132.13,139.71,146.51,152.54
850,,,,,,,,,,,,,,,,139.71,146.40,152.54,158.80
900,,,,,,,,,,,,,,,,,152.54,158.80,165.33
950,,,,,,,,,,,,,,,,,,165.33,172.12
1000,,,,,,,,,,,,,,,,,,,179.21
