h\w,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
100,9.76,10.33,10.85,11.94,13.56,15.02,15.91,18.28,20.08,20.98,22.62,23.34,23.88,24.95,25.50,26.23,28.00,29.87
150,10.13,10.85,12.49,13.38,14.46,15.55,16.28,21.17,22.62,23.52,26.23,27.32,28.22,29.65,31.10,32.92,35.13,37.48
200,,13.03,13.56,14.46,15.55,17.37,18.64,24.23,27.85,29.13,31.47,32.74,34.56,36.17,36.89,37.44,39.95,42.63
250,,,14.65,16.10,17.73,20.08,20.80,25.68,30.38,34.56,36.89,38.17,39.26,39.79,44.49,46.65,49.79,53.12
300,,,,18.28,20.08,21.17,22.62,30.20,34.37,38.89,42.87,43.77,45.22,47.21,49.92,52.08,55.58,59.30
350,,,,,21.34,22.62,24.95,32.92,38.53,41.78,45.80,47.21,49.19,52.27,55.35,58.59,62.52,66.70
400,,,,,,27.13,29.29,37.98,41.42,45.22,49.38,51.54,52.44,56.61,60.23,64.57,68.89,73.52
450,,,,,,,34.37,40.87,45.41,52.63,55.35,56.42,57.70,62.21,66.75,70.36,75.08,80.11
500,,,,,,,,43.77,49.92,54.62,59.68,60.77,62.40,67.27,71.97,77.24,82.40,87.93
550,,,,,,,,,54.45,57.70,62.40,64.57,66.75,71.97,76.51,82.30,87.81,93.69
600,,,,,,,,,,58.96,65.11,68.55,72.16,77.76,82.46,88.80,94.75,101.10
650,,,,,,,,,,,69.08,74.15,77.76,83.74,89.34,95.49,101.87,108.72
700,,,,,,,,,,,,80.30,83.74,88.97,93.86,100.91,107.68,114.89
750,,,,,,,,,,,,,89.34,91.15,97.85,103.99,110.97,118.39
800,,,,,,,,,,,,,,97.66,102.36,106.89,114.05,121.68
850,,,,,,,,,,,,,,,105.08,110.14,117.52,125.41
900,,,,,,,,,,,,,,,,113.77,121.38,129.52
950,,,,,,,,,,,,,,,,,129.54,138.21
1000,,,,,,,,,,,,,,,,,,147.49
