h\w,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
150,19.95,23.41,27.92,29.90,31.89,33.89,35.90,39.87,41.88,43.86,49.84,55.82,59.82,61.81,63.80,65.79,69.79,73.77
200,23.93,27.92,29.90,31.89,33.89,35.90,39.87,41.88,43.86,49.84,55.82,59.82,61.81,63.80,65.79,69.79,73.77,77.76
250,27.92,29.90,31.89,33.89,35.90,39.87,41.88,45.85,51.84,55.82,59.82,61.81,63.80,65.79,69.79,73.77,77.76,81.75
300,29.90,31.89,33.89,37.87,39.87,43.86,49.84,51.84,55.82,59.82,61.81,63.80,65.79,69.79,73.77,77.76,81.75,87.74
350,31.89,33.89,37.87,39.87,47.85,49.84,51.84,55.82,59.82,61.81,63.80,69.79,73.77,75.77,77.76,83.74,87.74,91.72
400,33.89,37.87,39.87,47.85,51.84,53.85,55.82,59.82,61.81,63.80,69.79,73.77,77.76,81.75,85.74,87.74,91.72,95.71
450,37.87,39.87,47.85,51.84,53.85,55.82,59.82,61.81,63.80,69.79,75.77,77.76,85.74,87.74,89.71,91.72,95.71,103.69
500,39.87,47.85,51.84,53.85,55.82,59.82,61.81,65.79,69.79,75.77,79.76,87.74,89.71,93.72,95.71,97.69,109.67,115.64
550,47.85,51.84,53.85,55.82,59.82,61.81,65.79,69.79,75.77,79.76,87.74,89.71,93.72,99.68,103.69,109.67,115.64,119.63
600,51.84,53.85,55.82,59.82,61.81,65.79,69.79,75.77,79.76,87.74,89.71,93.72,99.68,103.69,109.67,115.64,119.63,125.61
650,53.85,55.82,59.82,61.81,67.79,71.76,75.77,81.75,85.74,89.71,93.72,99.68,107.66,111.65,115.64,119.63,125.61,129.60
700,55.82,59.82,61.81,67.79,71.76,75.77,81.75,87.74,89.71,95.71,103.69,111.65,115.64,117.63,121.64,125.61,131.59,139.55
750,59.82,61.81,67.79,73.77,75.77,81.75,87.74,89.71,95.71,103.69,109.67,117.63,121.62,123.61,125.61,127.61,131.59,147.54
800,61.81,67.79,73.77,75.77,81.75,87.74,89.71,95.71,103.69,109.67,117.63,121.62,125.61,129.60,133.59,141.56,147.54,157.50
850,67.79,73.77,75.77,81.75,87.74,89.71,95.71,103.69,109.67,117.63,121.62,124.44,129.60,133.59,141.56,149.54,157.50,163.50
900,73.77,75.77,81.75,87.74,89.71,95.74,103.69,109.67,117.63,121.62,125.61,129.60,139.55,143.56,149.54,157.50,163.50,171.48
950,75.77,81.75,87.74,89.71,95.71,103.69,109.67,117.63,121.62,127.61,129.60,139.55,147.54,149.54,157.50,163.50,171.48,181.43
1000,81.75,87.74,89.71,95.71,103.69,110.01,117.63,121.62,127.61,131.59,139.55,147.54,155.52,157.50,163.50,171.48,181.43,195.39
